,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
461,2022.3.20,인스톨,페이스북,fb_app_install_static_aos_2202,124751,5006,24,5198,2,62376,"(0.0, 455.0]"
473,2022.3.21,인스톨,페이스북,fb_app_install_catalog_aos_2201,1051386,66844,902,1166,33,31860,"(455.0, 910.0]"
474,2022.3.21,인스톨,페이스북,fb_app_install_catalog_ios_2201,1661432,182421,849,1957,9,184604,"(455.0, 910.0]"
475,2022.3.21,인스톨,페이스북,fb_app_install_static_aos_2202,71378,2014,17,4199,0,0,"(0.0, 455.0]"
487,2022.3.22,인스톨,페이스북,fb_app_install_catalog_aos_2201,1249289,79205,1040,1201,30,41643,"(910.0, 1365.0]"
488,2022.3.22,인스톨,페이스북,fb_app_install_catalog_ios_2201,1876429,226194,625,3002,21,89354,"(455.0, 910.0]"
501,2022.3.23,인스톨,페이스북,fb_app_install_catalog_aos_2201,1273557,76354,1148,1109,38,33515,"(910.0, 1365.0]"
502,2022.3.23,인스톨,페이스북,fb_app_install_catalog_ios_2201,1659278,204714,678,2447,15,110619,"(455.0, 910.0]"
514,2022.3.24,인스톨,페이스북,fb_app_install_catalog_aos_2201,1601187,96103,1324,1209,42,38123,"(910.0, 1365.0]"
515,2022.3.24,인스톨,페이스북,fb_app_install_catalog_ios_2201,1493104,191367,795,1878,14,106650,"(455.0, 910.0]"
527,2022.3.25,인스톨,페이스북,fb_app_install_catalog_aos_2201,1640334,100905,1156,1419,31,52914,"(910.0, 1365.0]"
528,2022.3.25,인스톨,페이스북,fb_app_install_catalog_ios_2201,1358540,163643,636,2136,9,150949,"(455.0, 910.0]"
539,2022.3.26,인스톨,페이스북,fb_app_install_catalog_aos_2201,1847004,121151,1303,1418,61,30279,"(910.0, 1365.0]"
540,2022.3.26,인스톨,페이스북,fb_app_install_catalog_ios_2201,1402783,168657,599,2342,8,175348,"(455.0, 910.0]"
553,2022.3.27,인스톨,페이스북,fb_app_install_catalog_aos_2201,2007459,132339,1503,1336,46,43640,"(1365.0, 1820.0]"
554,2022.3.27,인스톨,페이스북,fb_app_install_catalog_ios_2201,1529582,190658,586,2610,12,127465,"(455.0, 910.0]"
565,2022.3.28,인스톨,페이스북,fb_app_install_catalog_aos_2201,2006549,112109,1283,1564,39,51450,"(910.0, 1365.0]"
