,date,label,media,campaign,spend,imp,click,install,CPI,first_purchase,cpa,month,year
344,2022-03-12,인스톨,페이스북,fb_app_install_catalog_aos_2201,1074864.592,77187,6804,1029,1044.572004,53,20280.46401,3,2022
345,2022-03-12,인스톨,페이스북,fb_app_install_catalog_ios_2201,1659474.931,280875,19549,1067,1555.271725,13,127651.9178,3,2022
346,2022-03-12,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,587697.495,90363,1028,1,587697.495,4,146924.3738,3,2022
347,2022-03-12,첫구매,몰로코,29cm_a_re_kor_newpurchase,288370.4396,112216,3281,6,48061.73993,2,144185.2198,3,2022
348,2022-03-12,첫구매,몰로코,29cm_i_re_kor_newpurchase,360757.3648,11834,135,0,0.0,1,360757.3648,3,2022
349,2022-03-12,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),42229.0,12431,101,0,0.0,0,0.0,3,2022
350,2022-03-12,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1903745.103,100307,6890,23,82771.5262,68,27996.25151,3,2022
351,2022-03-13,인스톨,ACi,★ [AOS] UAC_Action,671177.375,54374,868,100,6711.77375,4,167794.3438,3,2022
352,2022-03-13,인스톨,ACi,★ [AOS] UAC_Install,1363496.695,101514,3972,440,3098.856125,3,454498.8983,3,2022
353,2022-03-13,인스톨,몰로코,29cm_a_ua_kor,261003.3019,566929,2733,16,16312.70637,2,130501.651,3,2022
354,2022-03-13,인스톨,몰로코,29cm_i_ua_kor,484041.7331,1105326,2503,33,14667.93131,6,80673.62219,3,2022
355,2022-03-13,인스톨,크리테오,App Install_AOS,819453.5784,1214117,7213,370,2214.739401,7,117064.7969,3,2022
356,2022-03-13,인스톨,크리테오,App Install_iOS (NEW),998268.6148,1610635,4302,121,8250.153841,5,199653.723,3,2022
357,2022-03-13,인스톨,페이스북,fb_app_install_catalog_aos_2201,1095719.699,83418,7397,1182,927.0048212,51,21484.69997,3,2022
358,2022-03-13,인스톨,페이스북,fb_app_install_catalog_ios_2201,1715882.306,285849,21624,1267,1354.287534,21,81708.68121,3,2022
359,2022-03-13,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,508827.275,101328,1159,0,0.0,3,169609.0917,3,2022
360,2022-03-13,첫구매,몰로코,29cm_a_re_kor_newpurchase,288409.326,89425,3442,6,48068.221,5,57681.86521,3,2022
361,2022-03-13,첫구매,몰로코,29cm_i_re_kor_newpurchase,415085.5563,12302,138,0,0.0,1,415085.5563,3,2022
362,2022-03-13,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),41811.0,9677,96,0,0.0,0,0.0,3,2022
363,2022-03-13,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1943771.739,105316,7306,18,107987.3188,91,21360.129,3,2022
364,2022-03-14,인스톨,ACi,★ [AOS] UAC_Action,391662.975,41975,388,59,6638.355508,1,391662.975,3,2022
365,2022-03-14,인스톨,ACi,★ [AOS] UAC_Install,300014.99,22796,992,102,2941.323431,3,100004.9967,3,2022
366,2022-03-14,인스톨,몰로코,29cm_a_ua_kor,261196.0975,517820,3066,16,16324.75609,0,0.0,3,2022
367,2022-03-14,인스톨,몰로코,29cm_i_ua_kor,484021.2619,1127204,2135,26,18616.20238,2,242010.631,3,2022
368,2022-03-14,인스톨,크리테오,App Install_AOS,869916.0096,1217811,6477,285,3052.336876,4,217479.0024,3,2022
369,2022-03-14,인스톨,크리테오,App Install_iOS (NEW),950164.0803,1756060,3708,105,9049.181717,2,475082.0401,3,2022
370,2022-03-14,인스톨,페이스북,fb_app_install_catalog_aos_2201,1042315.459,69410,6125,874,1192.580617,42,24817.03475,3,2022
371,2022-03-14,인스톨,페이스북,fb_app_install_catalog_ios_2201,1712120.803,234867,16956,1227,1395.371477,17,100712.9884,3,2022
372,2022-03-14,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,371004.26,86655,1095,0,0.0,1,371004.26,3,2022
373,2022-03-14,첫구매,몰로코,29cm_a_re_kor_newpurchase,288803.2952,109236,3385,11,26254.84502,4,72200.8238,3,2022
